Project,Iteration,Classifier,FeatureSelection,Sampling,CostSensitive,Precision,Recall,AUC,Kappa,F1-Score,MCC
BOOKKEEPER,10,IBk,BestFirst (backward),SMOTE,none,0.202,0.267,0.621,0.184,0.230,0.187
BOOKKEEPER,1,RandomForest,BestFirst (backward),none,SensitiveThreshold,0.164,0.357,0.696,0.168,0.225,0.183
BOOKKEEPER,2,RandomForest,BestFirst (backward),none,SensitiveThreshold,0.170,0.353,0.700,0.175,0.230,0.188
BOOKKEEPER,3,RandomForest,BestFirst (backward),none,SensitiveThreshold,0.174,0.364,0.697,0.180,0.235,0.195
BOOKKEEPER,4,RandomForest,BestFirst (backward),none,SensitiveThreshold,0.164,0.336,0.684,0.165,0.220,0.177
BOOKKEEPER,5,RandomForest,BestFirst (backward),none,SensitiveThreshold,0.163,0.336,0.691,0.164,0.220,0.177
BOOKKEEPER,6,RandomForest,BestFirst (backward),none,SensitiveThreshold,0.157,0.337,0.685,0.157,0.214,0.171
BOOKKEEPER,7,RandomForest,BestFirst (backward),none,SensitiveThreshold,0.163,0.347,0.688,0.166,0.222,0.180
BOOKKEEPER,8,RandomForest,BestFirst (backward),none,SensitiveThreshold,0.173,0.364,0.685,0.179,0.234,0.194
BOOKKEEPER,9,RandomForest,BestFirst (backward),none,SensitiveThreshold,0.167,0.347,0.692,0.170,0.226,0.184
BOOKKEEPER,10,RandomForest,BestFirst (backward),none,SensitiveThreshold,0.172,0.362,0.695,0.178,0.233,0.192
BOOKKEEPER,1,NaiveBayes,BestFirst (backward),none,SensitiveThreshold,0.163,0.306,0.677,0.159,0.213,0.168
BOOKKEEPER,2,NaiveBayes,BestFirst (backward),none,SensitiveThreshold,0.155,0.305,0.676,0.150,0.206,0.160
BOOKKEEPER,3,NaiveBayes,BestFirst (backward),none,SensitiveThreshold,0.158,0.303,0.673,0.153,0.208,0.163
BOOKKEEPER,4,NaiveBayes,BestFirst (backward),none,SensitiveThreshold,0.157,0.300,0.675,0.151,0.206,0.160
BOOKKEEPER,5,NaiveBayes,BestFirst (backward),none,SensitiveThreshold,0.162,0.310,0.684,0.158,0.213,0.168
BOOKKEEPER,6,NaiveBayes,BestFirst (backward),none,SensitiveThreshold,0.160,0.307,0.682,0.155,0.210,0.165
BOOKKEEPER,7,NaiveBayes,BestFirst (backward),none,SensitiveThreshold,0.159,0.310,0.680,0.155,0.210,0.165
BOOKKEEPER,8,NaiveBayes,BestFirst (backward),none,SensitiveThreshold,0.162,0.311,0.676,0.158,0.213,0.168
BOOKKEEPER,9,NaiveBayes,BestFirst (backward),none,SensitiveThreshold,0.167,0.324,0.681,0.166,0.220,0.176
BOOKKEEPER,10,NaiveBayes,BestFirst (backward),none,SensitiveThreshold,0.164,0.310,0.677,0.160,0.214,0.169
BOOKKEEPER,1,IBk,BestFirst (backward),none,SensitiveThreshold,0.163,0.357,0.634,0.167,0.224,0.182
BOOKKEEPER,2,IBk,BestFirst (backward),none,SensitiveThreshold,0.172,0.358,0.633,0.178,0.233,0.192
BOOKKEEPER,3,IBk,BestFirst (backward),none,SensitiveThreshold,0.177,0.365,0.638,0.184,0.238,0.198
BOOKKEEPER,4,IBk,BestFirst (backward),none,SensitiveThreshold,0.163,0.340,0.617,0.165,0.221,0.178
BOOKKEEPER,5,IBk,BestFirst (backward),none,SensitiveThreshold,0.161,0.337,0.621,0.162,0.218,0.175
BOOKKEEPER,6,IBk,BestFirst (backward),none,SensitiveThreshold,0.155,0.332,0.623,0.154,0.211,0.168
BOOKKEEPER,7,IBk,BestFirst (backward),none,SensitiveThreshold,0.172,0.368,0.636,0.179,0.234,0.194
BOOKKEEPER,8,IBk,BestFirst (backward),none,SensitiveThreshold,0.170,0.355,0.623,0.175,0.230,0.189
BOOKKEEPER,9,IBk,BestFirst (backward),none,SensitiveThreshold,0.170,0.348,0.631,0.173,0.228,0.186
BOOKKEEPER,10,IBk,BestFirst (backward),none,SensitiveThreshold,0.172,0.365,0.631,0.178,0.233,0.193
