@relation SYNCOPE-Training-24

@attribute LOC numeric
@attribute NumParameters numeric
@attribute NumAuthors numeric
@attribute NumRevisions numeric
@attribute TotalStmtAdded numeric
@attribute TotalStmtDeleted numeric
@attribute NumBranches numeric
@attribute NestingDepth numeric
@attribute NumLocalVariables numeric
@attribute MaxChurn numeric
@attribute AvgChurn numeric
@attribute HasFixHistory numeric
@attribute IsBuggy {no,yes}

@data
0,0,2,2,0,0,0,0,0,0,0,0,no
0,1,2,2,0,0,0,0,0,0,0,0,no
0,2,2,2,0,0,0,0,0,0,0,0,no
0,1,2,2,0,0,0,0,0,0,0,0,no
0,1,2,2,0,0,0,0,0,0,0,0,no
0,1,2,2,0,0,0,0,0,0,0,0,no
0,1,2,2,0,0,0,0,0,0,0,0,no
0,3,2,2,0,0,0,0,0,0,0,0,no
0,2,1,2,0,0,0,0,0,0,0,0,no
0,1,2,2,0,0,0,0,0,0,0,0,no
0,1,2,2,0,0,0,0,0,0,0,0,no
0,1,1,2,0,0,0,0,0,0,0,0,no
0,2,2,2,0,0,0,0,0,0,0,0,no
0,1,2,2,0,0,0,0,0,0,0,0,no
0,0,1,2,0,0,0,0,0,0,0,0,no
0,1,2,2,0,0,0,0,0,0,0,0,no
0,0,2,2,0,0,0,0,0,0,0,0,no
0,0,2,2,0,0,0,0,0,0,0,0,no
0,2,2,2,0,0,0,0,0,0,0,0,no
0,1,2,2,0,0,0,0,0,0,0,0,no
0,2,2,2,0,0,0,0,0,0,0,0,no
0,3,2,2,0,0,0,0,0,0,0,0,no
0,0,1,2,0,0,0,0,0,0,0,0,no
0,1,2,2,0,0,0,0,0,0,0,0,no
0,1,2,2,0,0,0,0,0,0,0,0,no
0,0,2,2,0,0,0,0,0,0,0,0,no
0,1,2,2,0,0,0,0,0,0,0,0,no
0,2,2,2,0,0,0,0,0,0,0,0,no
0,2,2,2,0,0,0,0,0,0,0,0,no
0,2,2,2,0,0,0,0,0,0,0,0,no
0,1,2,2,0,0,0,0,0,0,0,0,no
0,2,2,2,0,0,0,0,0,0,0,0,no
0,1,2,2,0,0,0,0,0,0,0,0,no
0,3,2,2,0,0,0,0,0,0,0,0,no
0,1,1,2,0,0,0,0,0,0,0,0,no
0,0,2,2,0,0,0,0,0,0,0,0,no
0,1,2,2,0,0,0,0,0,0,0,0,no
0,1,2,2,0,0,0,0,0,0,0,0,no
0,1,2,2,0,0,0,0,0,0,0,0,no
0,1,2,2,0,0,0,0,0,0,0,0,no
0,2,2,2,0,0,0,0,0,0,0,0,no
0,0,2,2,0,0,0,0,0,0,0,0,no
0,0,2,2,0,0,0,0,0,0,0,0,no
