key,creationDate,resolutionDate,injectedVersion,openingVersion,fixedVersion,affectedVersion,numOfCommits
BOOKKEEPER-482,2012-11-27,2012-12-01,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-484,2012-11-27,2012-12-03,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-483,2012-11-27,2012-12-13,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-493,2012-12-06,2012-12-12,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-498,2012-12-10,2012-12-10,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-497,2012-12-10,2012-12-12,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-500,2012-12-11,2012-12-18,4.1.0,4.1.1,4.1.1,4.1.0;4.2.0,1
BOOKKEEPER-504,2012-12-13,2012-12-14,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-503,2012-12-13,2013-01-12,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-512,2012-12-14,2012-12-15,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-511,2012-12-14,2012-12-15,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-509,2012-12-14,2012-12-18,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-514,2012-12-14,2012-12-28,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-507,2012-12-14,2013-01-03,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-513,2012-12-14,2013-01-14,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-520,2012-12-18,2012-12-27,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,2
BOOKKEEPER-522,2012-12-20,2012-12-24,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-530,2012-12-29,2013-01-10,4.1.0,4.1.1,4.1.1,4.1.0,1
BOOKKEEPER-534,2013-01-05,2013-01-07,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-533,2013-01-05,2013-01-09,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-531,2013-01-05,2013-01-09,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-538,2013-01-08,2013-01-10,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-539,2013-01-09,2013-01-11,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-543,2013-01-10,2013-01-10,4.1.0,4.1.1,4.1.1,4.1.0,1
BOOKKEEPER-544,2013-01-11,2013-06-06,4.1.0,4.1.1,4.2.2,4.1.0;4.1.1;4.2.0;4.2.1,2
BOOKKEEPER-549,2013-01-16,2013-02-19,4.1.0,4.1.1,4.2.1,4.1.0;4.1.1;4.2.0,1
