Project,Iteration,Classifier,FeatureSelection,Sampling,CostSensitive,Precision,Recall,AUC,Kappa,F1-Score
SYNCOPE,14,RandomForest,none,SMOTE,none,0.183,0.167,0.547,0.153,0.174
SYNCOPE,14,NaiveBayes,none,SMOTE,none,0.125,0.456,0.752,0.161,0.196
SYNCOPE,14,IBk,none,SMOTE,none,0.142,0.228,0.634,0.147,0.175
SYNCOPE,14,RandomForest,none,none,SensitiveThreshold,0.239,0.140,0.585,0.160,0.177
SYNCOPE,14,NaiveBayes,none,none,SensitiveThreshold,0.141,0.386,0.764,0.174,0.206
SYNCOPE,14,IBk,none,none,SensitiveThreshold,0.228,0.158,0.619,0.168,0.187
SYNCOPE,15,RandomForest,none,none,none,0.122,0.357,0.858,0.178,0.182
SYNCOPE,15,NaiveBayes,none,none,none,0.016,0.286,0.809,0.024,0.030
SYNCOPE,15,IBk,none,none,none,0.098,0.357,0.797,0.150,0.154
SYNCOPE,15,RandomForest,BestFirst,none,none,0.125,0.357,0.853,0.181,0.185
SYNCOPE,15,NaiveBayes,BestFirst,none,none,0.017,0.286,0.823,0.025,0.031
SYNCOPE,15,IBk,BestFirst,none,none,0.116,0.357,0.775,0.171,0.175
SYNCOPE,15,RandomForest,none,SMOTE,none,0.032,0.357,0.749,0.053,0.059
SYNCOPE,15,NaiveBayes,none,SMOTE,none,0.015,0.429,0.808,0.023,0.029
SYNCOPE,15,IBk,none,SMOTE,none,0.034,0.429,0.761,0.057,0.062
SYNCOPE,15,RandomForest,none,none,SensitiveThreshold,0.071,0.500,0.850,0.119,0.124
SYNCOPE,15,NaiveBayes,none,none,SensitiveThreshold,0.013,0.286,0.809,0.019,0.025
SYNCOPE,15,IBk,none,none,SensitiveThreshold,0.066,0.500,0.797,0.112,0.117
SYNCOPE,16,RandomForest,none,none,none,0.818,0.429,0.863,0.561,0.563
SYNCOPE,16,NaiveBayes,none,none,none,0.037,0.429,0.859,0.059,0.067
SYNCOPE,16,IBk,none,none,none,0.818,0.429,0.810,0.561,0.563
SYNCOPE,16,RandomForest,BestFirst,none,none,0.818,0.429,0.798,0.561,0.563
SYNCOPE,16,NaiveBayes,BestFirst,none,none,0.036,0.429,0.865,0.058,0.066
SYNCOPE,16,IBk,BestFirst,none,none,0.750,0.429,0.809,0.544,0.545
SYNCOPE,16,RandomForest,none,SMOTE,none,0.107,0.571,0.803,0.174,0.180
SYNCOPE,16,NaiveBayes,none,SMOTE,none,0.031,0.571,0.862,0.051,0.060
SYNCOPE,16,IBk,none,SMOTE,none,0.105,0.571,0.808,0.171,0.178
SYNCOPE,16,RandomForest,none,none,SensitiveThreshold,0.353,0.571,0.806,0.433,0.436
SYNCOPE,16,NaiveBayes,none,none,SensitiveThreshold,0.030,0.429,0.859,0.048,0.056
SYNCOPE,16,IBk,none,none,SensitiveThreshold,0.333,0.571,0.810,0.417,0.421
SYNCOPE,17,RandomForest,none,none,none,1.000,0.273,0.845,0.427,0.429
SYNCOPE,17,NaiveBayes,none,none,none,0.063,0.455,0.857,0.099,0.111
SYNCOPE,17,IBk,none,none,none,1.000,0.273,0.831,0.427,0.429
SYNCOPE,17,RandomForest,BestFirst,none,none,1.000,0.273,0.841,0.427,0.429
SYNCOPE,17,NaiveBayes,BestFirst,none,none,0.061,0.424,0.858,0.095,0.107
SYNCOPE,17,IBk,BestFirst,none,none,1.000,0.273,0.827,0.427,0.429
SYNCOPE,17,RandomForest,none,SMOTE,none,0.123,0.424,0.790,0.181,0.190
SYNCOPE,17,NaiveBayes,none,SMOTE,none,0.053,0.606,0.858,0.085,0.098
SYNCOPE,17,IBk,none,SMOTE,none,0.107,0.364,0.817,0.156,0.166
SYNCOPE,17,RandomForest,none,none,SensitiveThreshold,0.475,0.576,0.835,0.516,0.521
SYNCOPE,17,NaiveBayes,none,none,SensitiveThreshold,0.058,0.515,0.857,0.092,0.105
SYNCOPE,17,IBk,none,none,SensitiveThreshold,0.475,0.576,0.831,0.516,0.521
SYNCOPE,18,RandomForest,none,none,none,0.000,0.000,0.863,-0.003,0.000
SYNCOPE,18,NaiveBayes,none,none,none,0.029,0.571,0.899,0.050,0.056
SYNCOPE,18,IBk,none,none,none,0.025,0.071,0.708,0.033,0.037
SYNCOPE,18,RandomForest,BestFirst,none,none,0.000,0.000,0.859,-0.002,0.000
SYNCOPE,18,NaiveBayes,BestFirst,none,none,0.025,0.429,0.897,0.042,0.048
SYNCOPE,18,IBk,BestFirst,none,none,0.029,0.071,0.712,0.038,0.042
SYNCOPE,18,RandomForest,none,SMOTE,none,0.000,0.000,0.834,-0.005,0.000
SYNCOPE,18,NaiveBayes,none,SMOTE,none,0.021,0.643,0.892,0.035,0.041
SYNCOPE,18,IBk,none,SMOTE,none,0.015,0.286,0.756,0.023,0.029
SYNCOPE,18,RandomForest,none,none,SensitiveThreshold,0.029,0.071,0.848,0.038,0.042
SYNCOPE,18,NaiveBayes,none,none,SensitiveThreshold,0.027,0.643,0.899,0.046,0.052
SYNCOPE,18,IBk,none,none,SensitiveThreshold,0.057,0.357,0.708,0.093,0.098
SYNCOPE,19,RandomForest,none,none,none,1.000,0.368,0.781,0.537,0.538
SYNCOPE,19,NaiveBayes,none,none,none,0.026,0.368,0.801,0.041,0.048
SYNCOPE,19,IBk,none,none,none,0.583,0.368,0.783,0.450,0.452
SYNCOPE,19,RandomForest,BestFirst,none,none,1.000,0.368,0.744,0.537,0.538
SYNCOPE,19,NaiveBayes,BestFirst,none,none,0.022,0.263,0.801,0.034,0.041
SYNCOPE,19,IBk,BestFirst,none,none,0.778,0.368,0.785,0.499,0.500
SYNCOPE,19,RandomForest,none,SMOTE,none,0.123,0.368,0.762,0.179,0.184
SYNCOPE,19,NaiveBayes,none,SMOTE,none,0.018,0.421,0.807,0.028,0.035
SYNCOPE,19,IBk,none,SMOTE,none,0.100,0.421,0.794,0.156,0.162
SYNCOPE,19,RandomForest,none,none,SensitiveThreshold,0.259,0.368,0.771,0.301,0.304
SYNCOPE,19,NaiveBayes,none,none,SensitiveThreshold,0.021,0.368,0.801,0.032,0.039
SYNCOPE,19,IBk,none,none,SensitiveThreshold,0.226,0.368,0.783,0.276,0.280
SYNCOPE,20,RandomForest,none,none,none,0.857,0.162,0.675,0.271,0.273
SYNCOPE,20,NaiveBayes,none,none,none,0.048,0.351,0.827,0.072,0.085
SYNCOPE,20,IBk,none,none,none,0.667,0.162,0.713,0.259,0.261
SYNCOPE,20,RandomForest,BestFirst,none,none,0.857,0.162,0.679,0.271,0.273
SYNCOPE,20,NaiveBayes,BestFirst,none,none,0.050,0.297,0.813,0.073,0.086
SYNCOPE,20,IBk,BestFirst,none,none,0.667,0.162,0.695,0.259,0.261
SYNCOPE,20,RandomForest,none,SMOTE,none,0.184,0.189,0.664,0.180,0.187
SYNCOPE,20,NaiveBayes,none,SMOTE,none,0.037,0.432,0.827,0.055,0.069
SYNCOPE,20,IBk,none,SMOTE,none,0.103,0.162,0.705,0.118,0.126
SYNCOPE,20,RandomForest,none,none,SensitiveThreshold,0.409,0.243,0.699,0.301,0.305
SYNCOPE,20,NaiveBayes,none,none,SensitiveThreshold,0.040,0.351,0.827,0.059,0.072
SYNCOPE,20,IBk,none,none,SensitiveThreshold,0.400,0.270,0.713,0.318,0.323
SYNCOPE,21,RandomForest,none,none,none,0.000,0.000,0.545,-0.000,0.000
SYNCOPE,21,NaiveBayes,none,none,none,0.023,0.353,0.838,0.037,0.043
SYNCOPE,21,IBk,none,none,none,0.000,0.000,0.554,-0.002,0.000
SYNCOPE,21,RandomForest,BestFirst,none,none,0.000,0.000,0.470,-0.002,0.000
SYNCOPE,21,NaiveBayes,BestFirst,none,none,0.027,0.294,0.774,0.043,0.049
SYNCOPE,21,IBk,BestFirst,none,none,0.000,0.000,0.465,-0.001,0.000
SYNCOPE,21,RandomForest,none,SMOTE,none,0.000,0.000,0.448,-0.004,0.000
SYNCOPE,21,NaiveBayes,none,SMOTE,none,0.016,0.412,0.835,0.024,0.031
SYNCOPE,21,IBk,none,SMOTE,none,0.000,0.000,0.550,-0.005,0.000
SYNCOPE,21,RandomForest,none,none,SensitiveThreshold,0.048,0.059,0.499,0.049,0.053
SYNCOPE,21,NaiveBayes,none,none,SensitiveThreshold,0.019,0.353,0.838,0.030,0.037
SYNCOPE,21,IBk,none,none,SensitiveThreshold,0.036,0.059,0.554,0.040,0.044
SYNCOPE,22,RandomForest,none,none,none,NaN,0.000,0.305,0.000,NaN
SYNCOPE,22,NaiveBayes,none,none,none,0.011,0.750,0.871,0.020,0.021
SYNCOPE,22,IBk,none,none,none,0.000,0.000,0.640,-0.001,0.000
SYNCOPE,22,RandomForest,BestFirst,none,none,0.000,0.000,0.064,-0.001,0.000
SYNCOPE,22,NaiveBayes,BestFirst,none,none,0.017,0.750,0.904,0.031,0.033
SYNCOPE,22,IBk,BestFirst,none,none,0.000,0.000,0.086,-0.001,0.000
SYNCOPE,22,RandomForest,none,SMOTE,none,0.000,0.000,0.351,-0.001,0.000
SYNCOPE,22,NaiveBayes,none,SMOTE,none,0.006,0.750,0.853,0.011,0.013
SYNCOPE,22,IBk,none,SMOTE,none,0.000,0.000,0.637,-0.001,0.000
SYNCOPE,22,RandomForest,none,none,SensitiveThreshold,0.000,0.000,0.357,-0.001,0.000
SYNCOPE,22,NaiveBayes,none,none,SensitiveThreshold,0.009,0.750,0.870,0.017,0.018
SYNCOPE,22,IBk,none,none,SensitiveThreshold,0.000,0.000,0.640,-0.001,0.000
SYNCOPE,23,RandomForest,none,none,none,0.000,0.000,0.723,-0.000,0.000
SYNCOPE,23,NaiveBayes,none,none,none,0.013,0.429,0.833,0.023,0.025
SYNCOPE,23,IBk,none,none,none,0.000,0.000,0.548,-0.001,0.000
SYNCOPE,23,RandomForest,BestFirst,none,none,0.000,0.000,0.322,-0.000,0.000
SYNCOPE,23,NaiveBayes,BestFirst,none,none,0.023,0.429,0.857,0.041,0.043
SYNCOPE,23,IBk,BestFirst,none,none,0.000,0.000,0.223,-0.000,0.000
SYNCOPE,23,RandomForest,none,SMOTE,none,0.000,0.000,0.703,-0.002,0.000
