Project,Iteration,Classifier,FeatureSelection,Sampling,CostSensitive,Precision,Recall,AUC,Kappa,F1-Score,MCC
SYNCOPE,14,RandomForest,none,none,none,0.800,0.105,0.637,0.181,0.186,0.285
SYNCOPE,14,NaiveBayes,none,none,none,0.168,0.368,0.769,0.201,0.231,0.219
SYNCOPE,14,IBk,none,none,none,0.440,0.096,0.633,0.150,0.158,0.197
SYNCOPE,14,RandomForest,BestFirst (backward),none,none,0.333,0.053,0.555,0.084,0.091,0.124
SYNCOPE,14,NaiveBayes,BestFirst (backward),none,none,0.171,0.342,0.748,0.200,0.228,0.213
SYNCOPE,14,IBk,BestFirst (backward),none,none,0.471,0.070,0.520,0.116,0.122,0.174
SYNCOPE,14,RandomForest,none,SMOTE,none,0.196,0.167,0.564,0.159,0.180,0.160
SYNCOPE,14,NaiveBayes,none,SMOTE,none,0.126,0.412,0.757,0.159,0.193,0.191
SYNCOPE,14,IBk,none,SMOTE,none,0.141,0.202,0.637,0.139,0.166,0.141
SYNCOPE,14,RandomForest,none,none,SensitiveThreshold,0.250,0.140,0.592,0.164,0.180,0.171
SYNCOPE,14,NaiveBayes,none,none,SensitiveThreshold,0.145,0.377,0.769,0.178,0.209,0.200
SYNCOPE,14,IBk,none,none,SensitiveThreshold,0.217,0.175,0.633,0.174,0.194,0.176
SYNCOPE,15,RandomForest,none,none,none,0.116,0.357,0.949,0.171,0.175,0.199
SYNCOPE,15,NaiveBayes,none,none,none,0.012,0.214,0.818,0.016,0.023,0.038
SYNCOPE,15,IBk,none,none,none,0.073,0.286,0.760,0.111,0.116,0.139
SYNCOPE,15,RandomForest,BestFirst (backward),none,none,0.114,0.357,0.904,0.168,0.172,0.197
SYNCOPE,15,NaiveBayes,BestFirst (backward),none,none,0.016,0.286,0.825,0.024,0.030,0.056
SYNCOPE,15,IBk,BestFirst (backward),none,none,0.113,0.429,0.828,0.175,0.179,0.216
SYNCOPE,15,RandomForest,none,SMOTE,none,0.034,0.357,0.815,0.057,0.063,0.102
SYNCOPE,15,NaiveBayes,none,SMOTE,none,0.014,0.429,0.820,0.021,0.027,0.063
SYNCOPE,15,IBk,none,SMOTE,none,0.039,0.500,0.811,0.067,0.073,0.132
SYNCOPE,15,RandomForest,none,none,SensitiveThreshold,0.079,0.571,0.931,0.134,0.139,0.207
SYNCOPE,15,NaiveBayes,none,none,SensitiveThreshold,0.013,0.286,0.818,0.020,0.026,0.049
SYNCOPE,15,IBk,none,none,SensitiveThreshold,0.075,0.500,0.760,0.126,0.131,0.188
