Project,Iteration,Classifier,FeatureSelection,Sampling,CostSensitive,Precision,Recall,AUC,Kappa,F1-Score,MCC
SYNCOPE,9,NaiveBayes,none,none,none,0.036,0.219,0.799,0.048,0.061,0.070
SYNCOPE,9,IBk,none,none,none,0.700,0.219,0.736,0.331,0.333,0.389
SYNCOPE,9,RandomForest,BestFirst (backward),none,none,NaN,0.000,0.657,0.000,NaN,NaN
SYNCOPE,9,NaiveBayes,BestFirst (backward),none,none,0.049,0.156,0.702,0.063,0.074,0.074
SYNCOPE,9,IBk,BestFirst (backward),none,none,NaN,0.000,0.657,0.000,NaN,NaN
SYNCOPE,9,RandomForest,none,SMOTE,none,0.062,0.469,0.828,0.096,0.109,0.153
SYNCOPE,9,NaiveBayes,none,SMOTE,none,0.027,0.250,0.803,0.035,0.049,0.060
SYNCOPE,9,IBk,none,SMOTE,none,0.060,0.469,0.730,0.094,0.107,0.151
SYNCOPE,9,RandomForest,none,none,SensitiveThreshold,0.208,0.469,0.878,0.280,0.288,0.304
SYNCOPE,9,NaiveBayes,none,none,SensitiveThreshold,0.031,0.219,0.799,0.041,0.054,0.063
SYNCOPE,9,IBk,none,none,SensitiveThreshold,0.205,0.469,0.736,0.278,0.286,0.302
SYNCOPE,10,RandomForest,none,none,none,0.824,0.280,0.826,0.414,0.418,0.477
SYNCOPE,10,NaiveBayes,none,none,none,0.062,0.240,0.761,0.080,0.098,0.100
SYNCOPE,10,IBk,none,none,none,0.708,0.340,0.760,0.455,0.459,0.487
SYNCOPE,10,RandomForest,BestFirst (backward),none,none,1.000,0.060,0.676,0.112,0.113,0.244
SYNCOPE,10,NaiveBayes,BestFirst (backward),none,none,0.070,0.140,0.736,0.078,0.093,0.083
SYNCOPE,10,IBk,BestFirst (backward),none,none,1.000,0.060,0.658,0.112,0.113,0.244
SYNCOPE,10,RandomForest,none,SMOTE,none,0.092,0.480,0.788,0.136,0.154,0.188
SYNCOPE,10,NaiveBayes,none,SMOTE,none,0.061,0.340,0.772,0.084,0.103,0.119
SYNCOPE,10,IBk,none,SMOTE,none,0.095,0.520,0.749,0.142,0.160,0.201
SYNCOPE,10,RandomForest,none,none,SensitiveThreshold,0.237,0.460,0.838,0.301,0.313,0.319
SYNCOPE,10,NaiveBayes,none,none,SensitiveThreshold,0.059,0.260,0.761,0.077,0.096,0.100
SYNCOPE,10,IBk,none,none,SensitiveThreshold,0.236,0.500,0.760,0.309,0.321,0.332
SYNCOPE,11,RandomForest,none,none,none,0.889,0.432,0.848,0.579,0.582,0.618
SYNCOPE,11,NaiveBayes,none,none,none,0.033,0.189,0.779,0.040,0.056,0.058
SYNCOPE,11,IBk,none,none,none,0.842,0.432,0.794,0.569,0.571,0.601
SYNCOPE,11,RandomForest,BestFirst (backward),none,none,0.500,0.054,0.694,0.096,0.098,0.162
SYNCOPE,11,NaiveBayes,BestFirst (backward),none,none,0.041,0.108,0.673,0.046,0.059,0.052
SYNCOPE,11,IBk,BestFirst (backward),none,none,0.667,0.054,0.695,0.099,0.100,0.188
SYNCOPE,11,RandomForest,none,SMOTE,none,0.090,0.568,0.805,0.142,0.156,0.210
SYNCOPE,11,NaiveBayes,none,SMOTE,none,0.040,0.351,0.797,0.055,0.071,0.095
SYNCOPE,11,IBk,none,SMOTE,none,0.100,0.676,0.829,0.161,0.174,0.245
SYNCOPE,11,RandomForest,none,none,SensitiveThreshold,0.286,0.541,0.838,0.366,0.374,0.385
SYNCOPE,11,NaiveBayes,none,none,SensitiveThreshold,0.031,0.216,0.779,0.039,0.055,0.060
SYNCOPE,11,IBk,none,none,SensitiveThreshold,0.288,0.568,0.794,0.374,0.382,0.397
SYNCOPE,12,RandomForest,none,none,none,0.750,0.366,0.949,0.488,0.492,0.521
SYNCOPE,12,NaiveBayes,none,none,none,0.040,0.220,0.795,0.051,0.068,0.072
SYNCOPE,12,IBk,none,none,none,0.640,0.390,0.869,0.481,0.485,0.496
SYNCOPE,12,RandomForest,BestFirst (backward),none,none,0.750,0.146,0.783,0.242,0.245,0.329
SYNCOPE,12,NaiveBayes,BestFirst (backward),none,none,0.036,0.122,0.799,0.040,0.055,0.048
SYNCOPE,12,IBk,BestFirst (backward),none,none,0.857,0.146,0.778,0.248,0.250,0.352
